MAG,LOCAL DATETIME,LAT,LON,DEPTH
,y/m/d h:m:s,deg,deg,km
1.4,06/04/2022 12:43,33.780N,116.156W,5.26
1.2,06/04/2022 12:34,33.697N,116.804W,16.82
1.1,06/04/2022 12:30,33.583N,116.807W,8.2
1.1,06/04/2022 12:15,33.779N,116.154W,5.42
0.7,06/04/2022 12:12,36.008N,120.954W,9.9
1.2,06/04/2022 12:10,33.775N,116.158W,4.19
0.8,06/04/2022 11:52,35.995N,120.553W,3.31
1.3,06/04/2022 11:44,38.132N,118.004W,10.3
0.6,06/04/2022 11:43,38.282N,118.555W,0
0.4,06/04/2022 11:42,38.828N,122.854W,1.84
1.5,06/04/2022 11:11,36.894N,121.620W,-0.12
2.1,06/04/2022 11:07,33.065N,115.002W,-0.2
0.5,06/04/2022 10:47,37.609N,122.484W,7.54
1.2,06/04/2022 10:34,38.149N,118.092W,7.8
0.2,06/04/2022 10:30,38.827N,122.801W,3.21
0.5,06/04/2022 10:28,33.438N,116.791W,22.06
1,06/04/2022 10:10,38.788N,122.770W,2.06
0.9,06/04/2022 09:22,38.829N,122.803W,1.81
1.3,06/04/2022 09:10,35.892N,117.730W,3.88
0.9,06/04/2022 08:53,38.816N,122.822W,1.12
0.6,06/04/2022 08:41,35.964N,120.511W,9.11
1.7,06/04/2022 08:36,35.735N,117.538W,5.5
0.8,06/04/2022 08:36,38.820N,122.804W,3.55
1,06/04/2022 08:35,38.142N,117.989W,9.6
0.4,06/04/2022 08:31,38.839N,122.809W,2.1
0.5,06/04/2022 08:02,33.570N,116.569W,18.02
0.9,06/04/2022 07:53,38.788N,119.611W,9.3
0.8,06/04/2022 07:53,38.824N,122.785W,0.8
1.9,06/04/2022 07:43,39.666N,122.858W,2.39
1.2,06/04/2022 07:11,38.832N,122.818W,1.79
1.7,06/04/2022 06:57,37.583N,117.939W,1.3
0.6,06/04/2022 06:57,35.671N,117.482W,4.89
1.3,06/04/2022 06:35,38.183N,117.799W,7.8
0.7,06/04/2022 06:28,38.810N,122.823W,2.18
0.9,06/04/2022 06:15,37.181N,116.230W,2.7
0.4,06/04/2022 06:00,36.606N,115.879W,11
0.7,06/04/2022 05:50,35.920N,117.780W,9.34
0.9,06/04/2022 05:43,37.368N,121.724W,8.85
1.1,06/04/2022 05:33,38.844N,122.816W,0.69
0.6,06/04/2022 05:13,39.408N,119.823W,9.9
0.1,06/04/2022 05:11,39.417N,119.821W,8.8
1.2,06/04/2022 04:27,33.994N,116.976W,17.65
1.3,06/04/2022 04:26,38.133N,117.996W,10.2
1.6,06/04/2022 04:21,39.344N,123.730W,3.3
0.8,06/04/2022 04:17,38.843N,122.825W,1.89
1.1,06/04/2022 03:45,32.652N,115.736W,7.54
0.3,06/04/2022 03:36,38.818N,122.796W,2.02
0.1,06/04/2022 03:32,38.777N,122.722W,1.48
0.8,06/04/2022 03:18,38.840N,122.811W,1.95
1.3,06/04/2022 02:54,35.158N,118.680W,10.62
1.1,06/04/2022 02:49,36.962N,121.620W,5.06
0.1,06/04/2022 02:04,39.136N,119.710W,8.4
1.1,06/04/2022 01:59,38.815N,122.825W,2.15
1.1,06/04/2022 01:49,36.239N,120.802W,6.1
0.4,06/04/2022 01:47,38.823N,122.753W,2.04
2,06/04/2022 01:38,32.322N,115.381W,0.04
0.6,06/04/2022 01:18,38.838N,122.800W,1.79
0.4,06/04/2022 01:18,38.815N,122.828W,1.09
0.7,06/04/2022 01:05,33.585N,116.807W,8.11
1.6,06/04/2022 01:04,37.365N,118.370W,7.94
0.6,06/04/2022 00:59,35.971N,117.706W,3.49
0.9,06/04/2022 00:40,40.149N,119.403W,12.6
0.1,06/04/2022 00:38,37.615N,118.870W,9.21
0.9,06/04/2022 00:10,38.790N,122.763W,1.8
1.3,06/04/2022 00:09,38.789N,122.761W,1.67
0.5,05/04/2022 23:55,35.910N,117.744W,8.82
0.2,05/04/2022 22:42,38.779N,122.767W,2.05
0.4,05/04/2022 22:32,33.438N,116.616W,6.11
1.4,05/04/2022 22:26,38.425N,118.730W,4.3
